date,variable,measurement,month,year
1980-10-31,evap,5.01304347826087,10,1980
1980-11-30,evap,3.7809523809523813,11,1980
1980-12-31,evap,2.662962962962963,12,1980
1981-01-31,evap,2.0620689655172413,1,1981
1981-02-28,evap,3.8535714285714286,2,1981
1981-03-31,evap,3.892857142857143,3,1981
1981-04-30,evap,7.292857142857143,4,1981
1981-05-31,evap,6.896774193548388,5,1981
1981-06-30,evap,8.488888888888889,6,1981
1981-07-31,evap,5.541935483870968,7,1981
1981-08-31,evap,7.495652173913044,8,1981
1981-09-30,evap,5.706666666666666,9,1981
1981-10-31,evap,4.328571428571428,10,1981
1981-11-30,evap,3.9266666666666667,11,1981
1981-12-31,evap,3.357142857142857,12,1981
1982-01-31,evap,2.1451612903225805,1,1982
1982-02-28,evap,2.8227272727272728,2,1982
1982-03-31,evap,4.84516129032258,3,1982
1982-04-30,evap,7.4423076923076925,4,1982
1982-05-31,evap,,5,1982
1982-06-30,evap,,6,1982
1982-07-31,evap,,7,1982
1982-08-31,evap,,8,1982
1982-09-30,evap,,9,1982
1982-10-31,evap,,10,1982
1982-11-30,evap,,11,1982
1982-12-31,evap,,12,1982
1983-01-31,evap,1.77,1,1983
1983-02-28,evap,1.7045454545454546,2,1983
1983-03-31,evap,,3,1983
1983-04-30,evap,,4,1983
1983-05-31,evap,,5,1983
1983-06-30,evap,,6,1983
1983-07-31,evap,,7,1983
1983-08-31,evap,,8,1983
1983-09-30,evap,,9,1983
1983-10-31,evap,,10,1983
1983-11-30,evap,,11,1983
1983-12-31,evap,,12,1983
1984-01-31,evap,,1,1984
1984-02-29,evap,,2,1984
1984-03-31,evap,,3,1984
1984-04-30,evap,6.54,4,1984
1984-05-31,evap,8.548387096774194,5,1984
1984-06-30,evap,,6,1984
1984-07-31,evap,,7,1984
1984-08-31,evap,,8,1984
1984-09-30,evap,,9,1984
1984-10-31,evap,,10,1984
1984-11-30,evap,,11,1984
1984-12-31,evap,,12,1984
1985-01-31,evap,,1,1985
1985-02-28,evap,,2,1985
1985-03-31,evap,,3,1985
1985-04-30,evap,,4,1985
1985-05-31,evap,,5,1985
1985-06-30,evap,,6,1985
1985-07-31,evap,,7,1985
1985-08-31,evap,,8,1985
1985-09-30,evap,,9,1985
1985-10-31,evap,,10,1985
1985-11-30,evap,,11,1985
1985-12-31,evap,,12,1985
1986-01-31,evap,,1,1986
1986-02-28,evap,,2,1986
1986-03-31,evap,,3,1986
1986-04-30,evap,,4,1986
1986-05-31,evap,,5,1986
1986-06-30,evap,,6,1986
1986-07-31,evap,,7,1986
1986-08-31,evap,,8,1986
1986-09-30,evap,,9,1986
1986-10-31,evap,,10,1986
1986-11-30,evap,,11,1986
1986-12-31,evap,,12,1986
1987-01-31,evap,,1,1987
1987-02-28,evap,,2,1987
1987-03-31,evap,,3,1987
1987-04-30,evap,,4,1987
1987-05-31,evap,,5,1987
1987-06-30,evap,,6,1987
1987-07-31,evap,,7,1987
1987-08-31,evap,,8,1987
1987-09-30,evap,,9,1987
1987-10-31,evap,,10,1987
1987-11-30,evap,,11,1987
1987-12-31,evap,,12,1987
1988-01-31,evap,,1,1988
1988-02-29,evap,2.2586206896551726,2,1988
1988-03-31,evap,4.551612903225807,3,1988
1988-04-30,evap,5.203333333333333,4,1988
1988-05-31,evap,6.996774193548387,5,1988
1988-06-30,evap,8.016666666666667,6,1988
1988-07-31,evap,4.758064516129032,7,1988
1988-08-31,evap,4.525806451612904,8,1988
1988-09-30,evap,4.836666666666667,9,1988
1988-10-31,evap,3.774193548387097,10,1988
1988-11-30,evap,2.6866666666666665,11,1988
1988-12-31,evap,2.138709677419355,12,1988
1989-01-31,evap,2.274193548387097,1,1989
1989-02-28,evap,3.6964285714285716,2,1989
1989-03-31,evap,5.561290322580645,3,1989
1989-04-30,evap,7.239999999999999,4,1989
1989-05-31,evap,8.59032258064516,5,1989
1989-06-30,evap,,6,1989
1989-07-31,evap,,7,1989
1989-08-31,evap,,8,1989
1989-09-30,evap,,9,1989
1989-10-31,evap,,10,1989
1989-11-30,evap,,11,1989
1989-12-31,evap,,12,1989
1990-01-31,evap,,1,1990
1990-02-28,evap,,2,1990
1990-03-31,evap,,3,1990
1990-04-30,evap,,4,1990
1990-05-31,evap,,5,1990
1990-06-30,evap,,6,1990
1990-07-31,evap,,7,1990
1990-08-31,evap,,8,1990
1990-09-30,evap,,9,1990
1990-10-31,evap,,10,1990
1990-11-30,evap,,11,1990
1990-12-31,evap,,12,1990
1991-01-31,evap,,1,1991
1991-02-28,evap,,2,1991
1991-03-31,evap,,3,1991
1991-04-30,evap,,4,1991
1991-05-31,evap,,5,1991
1991-06-30,evap,,6,1991
1991-07-31,evap,,7,1991
1991-08-31,evap,,8,1991
1991-09-30,evap,,9,1991
1991-10-31,evap,,10,1991
1991-11-30,evap,,11,1991
1991-12-31,evap,,12,1991
1992-01-31,evap,,1,1992
1992-02-29,evap,,2,1992
1992-03-31,evap,,3,1992
1992-04-30,evap,,4,1992
1992-05-31,evap,,5,1992
1992-06-30,evap,,6,1992
1992-07-31,evap,,7,1992
1992-08-31,evap,,8,1992
1992-09-30,evap,,9,1992
1992-10-31,evap,,10,1992
1992-11-30,evap,,11,1992
1992-12-31,evap,,12,1992
1993-01-31,evap,,1,1993
1993-02-28,evap,,2,1993
1993-03-31,evap,,3,1993
1993-04-30,evap,,4,1993
1993-05-31,evap,,5,1993
1993-06-30,evap,,6,1993
1993-07-31,evap,,7,1993
1993-08-31,evap,,8,1993
1993-09-30,evap,,9,1993
1993-10-31,evap,,10,1993
1993-11-30,evap,,11,1993
1993-12-31,evap,,12,1993
1994-01-31,evap,,1,1994
1994-02-28,evap,,2,1994
1994-03-31,evap,,3,1994
1994-04-30,evap,,4,1994
1994-05-31,evap,,5,1994
1994-06-30,evap,,6,1994
1994-07-31,evap,,7,1994
1994-08-31,evap,,8,1994
1994-09-30,evap,,9,1994
1994-10-31,evap,,10,1994
1994-11-30,evap,,11,1994
1994-12-31,evap,,12,1994
1995-01-31,evap,,1,1995
1995-02-28,evap,,2,1995
1995-03-31,evap,,3,1995
1995-04-30,evap,,4,1995
1995-05-31,evap,,5,1995
1995-06-30,evap,,6,1995
1995-07-31,evap,,7,1995
1995-08-31,evap,,8,1995
1995-09-30,evap,,9,1995
1995-10-31,evap,,10,1995
1995-11-30,evap,,11,1995
1995-12-31,evap,,12,1995
1996-01-31,evap,,1,1996
1996-02-29,evap,,2,1996
1996-03-31,evap,,3,1996
1996-04-30,evap,,4,1996
1996-05-31,evap,,5,1996
1996-06-30,evap,,6,1996
1996-07-31,evap,,7,1996
1996-08-31,evap,,8,1996
1996-09-30,evap,,9,1996
1996-10-31,evap,,10,1996
1996-11-30,evap,,11,1996
1996-12-31,evap,,12,1996
1997-01-31,evap,,1,1997
1997-02-28,evap,,2,1997
1997-03-31,evap,,3,1997
1997-04-30,evap,,4,1997
1997-05-31,evap,,5,1997
1997-06-30,evap,,6,1997
1997-07-31,evap,,7,1997
1997-08-31,evap,,8,1997
1997-09-30,evap,,9,1997
1997-10-31,evap,,10,1997
1997-11-30,evap,,11,1997
1997-12-31,evap,,12,1997
1998-01-31,evap,,1,1998
1998-02-28,evap,,2,1998
1998-03-31,evap,,3,1998
1998-04-30,evap,,4,1998
1998-05-31,evap,,5,1998
1998-06-30,evap,,6,1998
1998-07-31,evap,,7,1998
1998-08-31,evap,,8,1998
1998-09-30,evap,,9,1998
1998-10-31,evap,,10,1998
1998-11-30,evap,,11,1998
1998-12-31,evap,,12,1998
1999-01-31,evap,,1,1999
1999-02-28,evap,,2,1999
1999-03-31,evap,,3,1999
1999-04-30,evap,,4,1999
1999-05-31,evap,,5,1999
1999-06-30,evap,,6,1999
1999-07-31,evap,,7,1999
1999-08-31,evap,,8,1999
1999-09-30,evap,,9,1999
1999-10-31,evap,,10,1999
1999-11-30,evap,,11,1999
1999-12-31,evap,,12,1999
2000-01-31,evap,,1,2000
2000-02-29,evap,,2,2000
2000-03-31,evap,,3,2000
2000-04-30,evap,7.7,4,2000
2000-05-31,evap,9.64516129032258,5,2000
2000-06-30,evap,8.279310344827586,6,2000
2000-07-31,evap,7.0,7,2000
2000-08-31,evap,5.112903225806452,8,2000
2000-09-30,evap,6.426923076923076,9,2000
2000-10-31,evap,,10,2000
2000-11-30,evap,,11,2000
2000-12-31,evap,,12,2000
2001-01-31,evap,,1,2001
2001-02-28,evap,,2,2001
2001-03-31,evap,,3,2001
2001-04-30,evap,,4,2001
2001-05-31,evap,,5,2001
2001-06-30,evap,,6,2001
2001-07-31,evap,,7,2001
2001-08-31,evap,,8,2001
2001-09-30,evap,,9,2001
2001-10-31,evap,,10,2001
2001-11-30,evap,,11,2001
2001-12-31,evap,,12,2001
2002-01-31,evap,,1,2002
2002-02-28,evap,,2,2002
2002-03-31,evap,,3,2002
2002-04-30,evap,,4,2002
2002-05-31,evap,,5,2002
2002-06-30,evap,11.846153846153847,6,2002
2002-07-31,evap,,7,2002
2002-08-31,evap,,8,2002
2002-09-30,evap,,9,2002
2002-10-31,evap,,10,2002
2002-11-30,evap,4.5,11,2002
2002-12-31,evap,,12,2002
2003-01-31,evap,,1,2003
2003-02-28,evap,,2,2003
2003-03-31,evap,,3,2003
2003-04-30,evap,,4,2003
2003-05-31,evap,,5,2003
2003-06-30,evap,,6,2003
2003-07-31,evap,,7,2003
2003-08-31,evap,,8,2003
2003-09-30,evap,,9,2003
2003-10-31,evap,,10,2003
2003-11-30,evap,4.074074074074074,11,2003
2003-12-31,evap,3.24,12,2003
2004-01-31,evap,3.037037037037037,1,2004
2004-02-29,evap,,2,2004
2004-03-31,evap,,3,2004
2004-04-30,evap,5.666666666666667,4,2004
2004-05-31,evap,9.7,5,2004
2004-06-30,evap,9.825000000000001,6,2004
2004-07-31,evap,9.04,7,2004
2004-08-31,evap,5.733333333333333,8,2004
2004-09-30,evap,6.464285714285714,9,2004
2004-10-31,evap,,10,2004
2004-11-30,evap,,11,2004
2004-12-31,evap,,12,2004
2005-01-31,evap,,1,2005
2005-02-28,evap,,2,2005
2005-03-31,evap,,3,2005
2005-04-30,evap,,4,2005
2005-05-31,evap,,5,2005
2005-06-30,evap,,6,2005
2005-07-31,evap,,7,2005
2005-08-31,evap,,8,2005
2005-09-30,evap,,9,2005
2005-10-31,evap,4.166666666666667,10,2005
2005-11-30,evap,3.4,11,2005
2005-12-31,evap,2.3225806451612905,12,2005
2006-01-31,evap,,1,2006
2006-02-28,evap,,2,2006
2006-03-31,evap,,3,2006
2006-04-30,evap,,4,2006
2006-05-31,evap,,5,2006
2006-06-30,evap,7.344827586206897,6,2006
2006-07-31,evap,,7,2006
2006-08-31,evap,,8,2006
2006-09-30,evap,,9,2006
2006-10-31,evap,,10,2006
2006-11-30,evap,,11,2006
2006-12-31,evap,,12,2006
2007-01-31,evap,,1,2007
2007-02-28,evap,,2,2007
2007-03-31,evap,,3,2007
2007-04-30,evap,,4,2007
2007-05-31,evap,,5,2007
2007-06-30,evap,,6,2007
