date,variable,measurement,month,year
1962-04-30,evap,9.73448275862069,4,1962
1962-05-31,evap,10.745161290322581,5,1962
1962-06-30,evap,10.786666666666667,6,1962
1962-07-31,evap,7.729032258064516,7,1962
1962-08-31,evap,9.009677419354839,8,1962
1962-09-30,evap,5.883333333333334,9,1962
1962-10-31,evap,6.612903225806452,10,1962
1962-11-30,evap,4.45,11,1962
1962-12-31,evap,1.867741935483871,12,1962
1963-01-31,evap,2.274193548387097,1,1963
1963-02-28,evap,5.1499999999999995,2,1963
1963-03-31,evap,,3,1963
1963-04-30,evap,,4,1963
1963-05-31,evap,,5,1963
1963-06-30,evap,11.063333333333333,6,1963
1963-07-31,evap,8.46774193548387,7,1963
1963-08-31,evap,6.251612903225807,8,1963
1963-09-30,evap,7.206666666666666,9,1963
1963-10-31,evap,,10,1963
1963-11-30,evap,,11,1963
1963-12-31,evap,,12,1963
1964-01-31,evap,,1,1964
1964-02-29,evap,,2,1964
1964-03-31,evap,,3,1964
1964-04-30,evap,,4,1964
1964-05-31,evap,,5,1964
1964-06-30,evap,,6,1964
1964-07-31,evap,,7,1964
1964-08-31,evap,6.729032258064516,8,1964
1964-09-30,evap,5.3933333333333335,9,1964
1964-10-31,evap,5.32258064516129,10,1964
1964-11-30,evap,,11,1964
1964-12-31,evap,,12,1964
1965-01-31,evap,2.616129032258064,1,1965
1965-02-28,evap,2.75,2,1965
1965-03-31,evap,5.596774193548387,3,1965
1965-04-30,evap,8.873333333333333,4,1965
1965-05-31,evap,10.01,5,1965
1965-06-30,evap,10.826666666666666,6,1965
1965-07-31,evap,8.829032258064515,7,1965
1965-08-31,evap,8.158064516129032,8,1965
1965-09-30,evap,7.306666666666667,9,1965
1965-10-31,evap,6.974193548387096,10,1965
1965-11-30,evap,4.4399999999999995,11,1965
1965-12-31,evap,2.7096774193548385,12,1965
1966-01-31,evap,2.9419354838709677,1,1966
1966-02-28,evap,2.957142857142857,2,1966
1966-03-31,evap,5.619354838709677,3,1966
1966-04-30,evap,,4,1966
1966-05-31,evap,,5,1966
1966-06-30,evap,,6,1966
1966-07-31,evap,,7,1966
1966-08-31,evap,,8,1966
1966-09-30,evap,,9,1966
1966-10-31,evap,,10,1966
1966-11-30,evap,,11,1966
1966-12-31,evap,,12,1966
1967-01-31,evap,,1,1967
1967-02-28,evap,,2,1967
1967-03-31,evap,,3,1967
1967-04-30,evap,,4,1967
1967-05-31,evap,,5,1967
1967-06-30,evap,,6,1967
1967-07-31,evap,,7,1967
1967-08-31,evap,,8,1967
1967-09-30,evap,,9,1967
1967-10-31,evap,,10,1967
1967-11-30,evap,,11,1967
1967-12-31,evap,,12,1967
1968-01-31,evap,,1,1968
1968-02-29,evap,,2,1968
1968-03-31,evap,,3,1968
1968-04-30,evap,,4,1968
1968-05-31,evap,,5,1968
1968-06-30,evap,,6,1968
1968-07-31,evap,,7,1968
1968-08-31,evap,5.629032258064516,8,1968
1968-09-30,evap,6.163333333333333,9,1968
1968-10-31,evap,5.658064516129032,10,1968
1968-11-30,evap,3.49,11,1968
1968-12-31,evap,2.929032258064516,12,1968
1969-01-31,evap,2.358064516129032,1,1969
1969-02-28,evap,3.314285714285714,2,1969
1969-03-31,evap,3.858064516129032,3,1969
1969-04-30,evap,,4,1969
1969-05-31,evap,,5,1969
1969-06-30,evap,,6,1969
1969-07-31,evap,,7,1969
1969-08-31,evap,,8,1969
1969-09-30,evap,6.6866666666666665,9,1969
1969-10-31,evap,5.919354838709677,10,1969
1969-11-30,evap,3.3033333333333337,11,1969
1969-12-31,evap,2.661290322580645,12,1969
1970-01-31,evap,3.0032258064516126,1,1970
1970-02-28,evap,3.6035714285714286,2,1970
1970-03-31,evap,4.174193548387097,3,1970
1970-04-30,evap,6.986666666666666,4,1970
1970-05-31,evap,8.106451612903227,5,1970
1970-06-30,evap,10.313333333333333,6,1970
1970-07-31,evap,8.670967741935485,7,1970
1970-08-31,evap,6.567741935483871,8,1970
1970-09-30,evap,6.489999999999999,9,1970
1970-10-31,evap,5.070967741935483,10,1970
1970-11-30,evap,4.296666666666667,11,1970
1970-12-31,evap,2.8129032258064517,12,1970
1971-01-31,evap,3.235483870967742,1,1971
1971-02-28,evap,4.4714285714285715,2,1971
1971-03-31,evap,4.548387096774194,3,1971
1971-04-30,evap,7.403333333333333,4,1971
1971-05-31,evap,9.69032258064516,5,1971
1971-06-30,evap,10.573333333333332,6,1971
1971-07-31,evap,,7,1971
1971-08-31,evap,,8,1971
1971-09-30,evap,,9,1971
1971-10-31,evap,4.609677419354839,10,1971
1971-11-30,evap,3.816666666666667,11,1971
1971-12-31,evap,1.632258064516129,12,1971
1972-01-31,evap,2.916129032258065,1,1972
1972-02-29,evap,4.751724137931035,2,1972
1972-03-31,evap,6.706451612903226,3,1972
1972-04-30,evap,8.283333333333333,4,1972
1972-05-31,evap,9.548387096774194,5,1972
1972-06-30,evap,8.806666666666667,6,1972
1972-07-31,evap,8.754838709677419,7,1972
1972-08-31,evap,7.648387096774194,8,1972
1972-09-30,evap,6.016666666666667,9,1972
1972-10-31,evap,4.370967741935484,10,1972
1972-11-30,evap,3.106666666666667,11,1972
1972-12-31,evap,3.396774193548387,12,1972
1973-01-31,evap,3.096774193548387,1,1973
1973-02-28,evap,,2,1973
1973-03-31,evap,,3,1973
1973-04-30,evap,7.956666666666667,4,1973
1973-05-31,evap,9.306451612903226,5,1973
1973-06-30,evap,11.603333333333333,6,1973
1973-07-31,evap,8.296774193548387,7,1973
1973-08-31,evap,7.67741935483871,8,1973
1973-09-30,evap,8.403333333333332,9,1973
1973-10-31,evap,7.32258064516129,10,1973
1973-11-30,evap,5.016666666666667,11,1973
1973-12-31,evap,4.141935483870968,12,1973
1974-01-31,evap,3.306451612903226,1,1974
1974-02-28,evap,5.307142857142857,2,1974
1974-03-31,evap,5.754838709677419,3,1974
1974-04-30,evap,8.903333333333334,4,1974
1974-05-31,evap,11.141935483870967,5,1974
1974-06-30,evap,,6,1974
1974-07-31,evap,8.167741935483871,7,1974
1974-08-31,evap,6.641935483870968,8,1974
1974-09-30,evap,6.626666666666667,9,1974
1974-10-31,evap,4.590322580645162,10,1974
1974-11-30,evap,3.393333333333333,11,1974
1974-12-31,evap,2.541935483870968,12,1974
1975-01-31,evap,3.3193548387096774,1,1975
1975-02-28,evap,3.9107142857142856,2,1975
1975-03-31,evap,5.945161290322581,3,1975
1975-04-30,evap,7.123333333333333,4,1975
1975-05-31,evap,9.890322580645162,5,1975
1975-06-30,evap,12.006666666666666,6,1975
1975-07-31,evap,7.741935483870968,7,1975
1975-08-31,evap,8.548387096774194,8,1975
1975-09-30,evap,6.266666666666667,9,1975
1975-10-31,evap,6.590322580645162,10,1975
1975-11-30,evap,4.256666666666667,11,1975
1975-12-31,evap,2.6870967741935483,12,1975
1976-01-31,evap,3.458064516129032,1,1976
1976-02-29,evap,4.372413793103449,2,1976
1976-03-31,evap,6.33225806451613,3,1976
1976-04-30,evap,7.8966666666666665,4,1976
1976-05-31,evap,9.425806451612903,5,1976
1976-06-30,evap,11.863333333333333,6,1976
1976-07-31,evap,7.948387096774193,7,1976
1976-08-31,evap,7.987096774193549,8,1976
1976-09-30,evap,6.176666666666667,9,1976
1976-10-31,evap,4.487096774193549,10,1976
1976-11-30,evap,3.65,11,1976
1976-12-31,evap,2.7129032258064516,12,1976
1977-01-31,evap,1.8870967741935485,1,1977
1977-02-28,evap,4.8428571428571425,2,1977
1977-03-31,evap,6.487096774193549,3,1977
