year,precipSum,season
1961-01-01,257.6,winter
1962-01-01,96.7,winter
1963-01-01,29.0,winter
1964-01-01,107.0,winter
1965-01-01,227.9,winter
1966-01-01,30.0,winter
1967-01-01,271.4,winter
1968-01-01,76.8,winter
1969-01-01,93.2,winter
1970-01-01,22.5,winter
1971-01-01,60.900000000000006,winter
1972-01-01,264.5,winter
1973-01-01,105.0,winter
1974-01-01,105.1,winter
1975-01-01,120.4,winter
1976-01-01,77.5,winter
1977-01-01,249.5,winter
1978-01-01,452.6,winter
1979-01-01,0.0,winter
1980-01-01,0.0,winter
1981-01-01,0.0,winter
1982-01-01,192.0,winter
1983-01-01,82.5,winter
1984-01-01,0.0,winter
1961-01-01,435.2,summer
1962-01-01,198.5,summer
1963-01-01,371.5,summer
1964-01-01,445.2,summer
1965-01-01,347.5,summer
1966-01-01,422.8,summer
1967-01-01,475.8,summer
1968-01-01,319.70000000000005,summer
1969-01-01,180.7,summer
1970-01-01,281.0,summer
1971-01-01,493.79999999999995,summer
1972-01-01,230.1,summer
1973-01-01,219.0,summer
1974-01-01,277.0,summer
1975-01-01,306.0,summer
1976-01-01,291.0,summer
1977-01-01,407.5,summer
1978-01-01,300.0,summer
1979-01-01,160.0,summer
1980-01-01,122.0,summer
1981-01-01,132.6,summer
1982-01-01,221.0,summer
1983-01-01,0.0,summer
1984-01-01,0.0,summer
